"id","infoSheetViewed","infoSheetViewedAt","consentGiven","consentGivenAt","consentDeclined","consentDeclinedAt","chatStarted","chatStartedAt","chatEndedAt","withdrew","withdrawnAt","surveyCompleted","surveyCompletedAt","personaId","createdAt","updatedAt","piiCategoriesDetected","data"
"920433be-bb34-4843-8dcf-59f66206431d",true,"2026-03-27T19:59:05.441Z",true,"2026-03-27T19:59:13.173Z",false,,true,"2026-03-27T19:59:14.716Z","2026-03-27T20:02:33.363Z",true,"2026-03-27T20:02:33.363Z",false,,4,"2026-03-27T19:59:03.938Z","2026-03-27T20:02:33.364Z",,
"7f3072a3-9452-4ecd-9b2e-63dafc47fad0",true,"2026-03-30T13:23:50.928Z",true,"2026-03-30T13:24:09.359Z",false,,true,"2026-03-30T13:24:20.466Z","2026-03-30T13:25:13.161Z",true,"2026-03-30T13:25:13.161Z",false,,4,"2026-03-30T13:23:46.724Z","2026-03-30T13:25:13.161Z",,
"5e98c23b-02ef-4e3e-a74f-46f83ca38788",true,"2026-03-30T07:14:06.661Z",true,"2026-03-30T07:14:31.713Z",false,,true,"2026-03-30T07:14:46.004Z","2026-03-30T07:24:59.224Z",false,,true,"2026-03-30T07:24:59.988Z",3,"2026-03-30T07:10:56.279Z","2026-03-30T07:24:59.989Z",,
"850bed08-e1fe-4fff-868b-9d50b278314e",false,,false,,false,,false,,,false,,false,,,"2026-03-30T13:51:24.918Z","2026-03-30T13:51:24.918Z",,
"8d6fe846-988d-4571-ab43-955150011382",false,,false,,false,,false,,,false,,false,,,"2026-03-27T16:56:22.211Z","2026-03-27T16:56:22.211Z",,
"2cea9acf-f3db-49bf-823d-d33ae8eed855",true,"2026-03-28T09:33:33.842Z",true,"2026-03-28T09:33:42.342Z",false,,true,"2026-03-28T09:33:45.254Z","2026-03-28T09:43:20.889Z",false,,true,"2026-03-28T09:43:21.692Z",3,"2026-03-28T09:33:30.430Z","2026-03-28T09:43:21.693Z",,
"0edd34bf-ea11-4c14-a75f-e7b1ddf61225",true,"2026-03-30T19:10:29.362Z",true,"2026-03-30T19:10:40.886Z",false,,true,"2026-03-30T19:10:50.198Z","2026-03-30T19:20:20.391Z",false,,true,"2026-03-30T19:20:21.490Z",4,"2026-03-30T19:10:20.865Z","2026-03-30T19:20:21.491Z",,
"bb5e722e-32a2-4a0f-bac5-e724aaa4697e",false,,false,,false,,false,,,false,,false,,,"2026-03-28T09:44:00.966Z","2026-03-28T09:44:00.966Z",,
"4373cbb9-c507-42ec-ab2c-6b7d3f1fc54a",true,"2026-03-30T12:39:38.132Z",true,"2026-03-30T12:39:53.616Z",false,,true,"2026-03-30T12:40:06.937Z","2026-03-30T12:40:27.005Z",true,"2026-03-30T12:40:27.005Z",false,,2,"2026-03-30T12:39:33.578Z","2026-03-30T12:40:27.006Z",,
"b0fc08d8-8c4f-4376-ad2d-f504409110f0",false,,false,,false,,false,,,false,,false,,,"2026-03-28T09:44:45.050Z","2026-03-28T09:44:45.050Z",,
"d36d1cf4-fd6f-4899-b844-38d90f2146bc",true,"2026-03-27T16:53:59.014Z",true,"2026-03-27T16:54:09.132Z",false,,true,"2026-03-27T16:55:18.268Z","2026-03-27T16:59:52.945Z",true,"2026-03-27T16:59:52.945Z",false,,3,"2026-03-27T16:53:55.960Z","2026-03-27T16:59:52.945Z",,
"cdabe84a-3b38-49ab-b214-f437bce4ac17",false,,false,,false,,false,,,false,,false,,,"2026-03-28T09:44:52.701Z","2026-03-28T09:44:52.701Z",,
"1e881145-dc53-49b8-94f2-01ecaf892d0b",true,"2026-03-30T19:14:57.566Z",true,"2026-03-30T19:15:05.574Z",false,,true,"2026-03-30T19:15:08.139Z","2026-03-30T19:24:17.740Z",false,,true,"2026-03-30T19:24:18.189Z",3,"2026-03-30T19:14:55.717Z","2026-03-30T19:24:18.189Z",,
"cb2b6442-ce45-4f31-a8a9-d5b0f58986ea",true,"2026-03-28T09:43:56.764Z",true,"2026-03-28T09:44:11.569Z",false,,true,"2026-03-28T09:44:14.553Z","2026-03-28T09:54:04.953Z",false,,true,"2026-03-28T09:54:06.091Z",1,"2026-03-28T09:43:53.665Z","2026-03-28T09:54:06.092Z",,
"ad027d83-93ae-4ffc-95ef-5885900c1251",true,"2026-03-27T16:56:23.843Z",true,"2026-03-27T16:56:32.845Z",false,,true,"2026-03-27T16:56:34.618Z","2026-03-27T17:39:17.212Z",false,,true,"2026-03-27T17:39:21.754Z",2,"2026-03-27T16:56:22.211Z","2026-03-27T17:39:21.755Z",,
"9c3455c4-6d13-490b-8660-afb55e75c455",false,,false,,false,,false,,,false,,false,,,"2026-03-27T17:39:24.568Z","2026-03-27T17:39:24.568Z",,
"472ab492-e347-452a-bb26-5adcad1d6df6",true,"2026-03-30T12:39:14.506Z",true,"2026-03-30T12:39:23.544Z",false,,true,"2026-03-30T12:39:32.695Z","2026-03-30T12:48:50.731Z",false,,true,"2026-03-30T12:48:51.489Z",4,"2026-03-30T12:39:12.742Z","2026-03-30T12:48:51.490Z",,
"222ae313-0fb6-4b61-abea-1461956eb936",true,"2026-03-28T09:22:39.762Z",true,"2026-03-28T09:22:59.356Z",false,,true,"2026-03-28T09:23:40.128Z","2026-03-28T10:01:16.503Z",false,,true,"2026-03-28T10:01:17.690Z",4,"2026-03-28T09:19:41.258Z","2026-03-28T10:01:17.690Z",,
"91737455-abee-4c6b-bba2-47dacc1ef06d",false,,false,,false,,false,,,false,,false,,,"2026-03-30T13:07:44.597Z","2026-03-30T13:07:44.597Z",,
"425e63fa-e69e-4fc6-8faa-778eda782fbc",false,,false,,false,,false,,,false,,false,,,"2026-04-02T12:47:22.534Z","2026-04-02T12:47:22.534Z",,
"4239420b-6807-4fd5-949e-24ac35849596",false,,false,,false,,false,,,false,,false,,,"2026-04-04T11:13:58.845Z","2026-04-04T11:13:58.845Z",,
"135fc7ed-ca64-4f8d-8f43-eb53b1791e7d",true,"2026-03-30T18:39:18.825Z",true,"2026-03-30T18:39:32.763Z",false,,true,"2026-03-30T18:40:01.223Z","2026-03-30T18:51:24.792Z",false,,true,"2026-03-30T18:51:25.588Z",1,"2026-03-30T18:36:54.599Z","2026-03-30T18:51:25.589Z",,
"e592eff9-5bb9-4fd4-ba4d-4362fd024dde",false,,false,,false,,false,,,false,,false,,,"2026-04-04T11:15:10.470Z","2026-04-04T11:15:10.470Z",,
"6f2f2f48-33c0-453a-a68c-531cd10618f9",false,,false,,false,,false,,,false,,false,,,"2026-04-04T11:15:10.471Z","2026-04-04T11:15:10.471Z",,
"5c6a330d-bd76-4091-a431-00f41d22323f",true,"2026-03-28T10:03:52.303Z",true,"2026-03-28T10:03:57.987Z",false,,true,"2026-03-28T10:03:59.644Z","2026-03-28T10:13:25.102Z",false,,true,"2026-03-28T10:13:26.192Z",2,"2026-03-28T10:03:48.885Z","2026-03-28T10:13:26.193Z",,
"9b9a3f30-e26b-4e14-b503-4af8f0a4f7f9",true,"2026-03-30T13:09:12.095Z",true,"2026-03-30T13:09:18.271Z",false,,true,"2026-03-30T13:09:20.310Z","2026-03-30T13:09:38.899Z",true,"2026-03-30T13:09:38.899Z",false,,3,"2026-03-30T12:57:09.160Z","2026-03-30T13:09:38.900Z",,
