"id","sessionId","questionId","questionText","questionType","response","createdAt","piiCategoriesDetected","data"
"e6228597-5124-4c69-8003-c93a2cd9bce3","05024d1b-02aa-4180-8e0c-d49313e8415a","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-27T14:54:09.051Z",,
"213e1802-7b80-41ae-bc86-895a79dc718b","05024d1b-02aa-4180-8e0c-d49313e8415a","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Agree","2026-03-27T14:54:09.052Z",,
"81d3faf3-d6f4-46a0-a477-c6433da4ce1f","05024d1b-02aa-4180-8e0c-d49313e8415a","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Strongly Agree","2026-03-27T14:54:09.052Z",,
"9a3d3097-cbb9-46d4-8acf-cd6c9159c2f5","05024d1b-02aa-4180-8e0c-d49313e8415a","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Moderately","2026-03-27T14:54:09.052Z",,
"7c3960a3-e66f-4336-885d-a1cdf1cb1371","05024d1b-02aa-4180-8e0c-d49313e8415a","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Agree","2026-03-27T14:54:09.052Z",,
"f7e2ef4d-4c7c-4514-93fb-2399cfbb3671","05024d1b-02aa-4180-8e0c-d49313e8415a","9","I found myself including more detail than necessary.","likert","Neutral","2026-03-27T14:54:09.053Z",,
"79f28c50-7154-423b-b01c-60cfd33a245e","05024d1b-02aa-4180-8e0c-d49313e8415a","15","Thoughts or concerns about privacy.","text","I feel like everyone has my data now and I have no control over it at all","2026-03-27T14:54:09.053Z",,
"bb0d1731-431e-4f49-8ad2-745e5df0c7eb","05024d1b-02aa-4180-8e0c-d49313e8415a","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Learning or studying"",""Writing or editing text""]","2026-03-27T14:54:09.051Z",,
"cfa8a1f3-061f-482a-84e2-38d707f53f2a","05024d1b-02aa-4180-8e0c-d49313e8415a","5","The chatbot felt conversational and informal.","likert","Strongly Agree","2026-03-27T14:54:09.052Z",,
"5e8b0cbf-36d2-4a18-8b80-0aa57662dd1b","05024d1b-02aa-4180-8e0c-d49313e8415a","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Disagree","2026-03-27T14:54:09.051Z",,
"4acf4bbf-f0ba-4d44-941a-773e9ce149f6","05024d1b-02aa-4180-8e0c-d49313e8415a","12","Did the chatbot encourage you to share more detailed information?","likert","Strongly Agree","2026-03-27T14:54:09.052Z",,
"43fd8481-90ce-46db-a8d5-222d3a183aa8","05024d1b-02aa-4180-8e0c-d49313e8415a","10","I felt in control of what information I shared.","likert","Strongly Agree","2026-03-27T14:54:09.052Z",,
"174cb4c6-e225-4bb0-bd3a-33c44c3d27aa","05024d1b-02aa-4180-8e0c-d49313e8415a","6","I felt comfortable interacting with the chatbot.","likert","Strongly Agree","2026-03-27T14:54:09.052Z",,
"cd74c55d-c34d-4b01-9a09-68c0a77d99d8","05024d1b-02aa-4180-8e0c-d49313e8415a","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Wanting more accurate responses"",""Task instructions"",""Time pressure""]","2026-03-27T14:54:09.052Z",,
"51abb9eb-3f3d-4626-93d8-ac4da4a15267","05024d1b-02aa-4180-8e0c-d49313e8415a","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Strongly Agree","2026-03-27T14:54:09.051Z",,
"28a89e97-38f8-4e38-ab05-5dcf3fb8ed8a","d207fe20-3e04-4637-96e7-a45547c7c1b0","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-26T00:42:18.555Z",,
"e8349bba-d3cd-4469-8349-f954ba443817","d207fe20-3e04-4637-96e7-a45547c7c1b0","10","I felt in control of what information I shared.","likert","Disagree","2026-03-26T00:42:18.557Z",,
"8c6affc6-339c-4b51-b73e-81c092d08aab","d207fe20-3e04-4637-96e7-a45547c7c1b0","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Wanting more accurate responses"",""Task instructions"",""Not thinking about privacy"",""Trust in the system""]","2026-03-26T00:42:18.557Z",,
"612f4179-a290-45b5-8723-eaebe62416ba","d207fe20-3e04-4637-96e7-a45547c7c1b0","12","Did the chatbot encourage you to share more detailed information?","likert","Disagree","2026-03-26T00:42:18.557Z",,
"d323680e-87ce-4770-b5ce-533aa22bfcfd","d207fe20-3e04-4637-96e7-a45547c7c1b0","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Agree","2026-03-26T00:42:18.557Z",,
"f4e6990b-fd82-4c9e-9221-e795e3cc83de","d207fe20-3e04-4637-96e7-a45547c7c1b0","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Disagree","2026-03-26T00:42:18.557Z",,
"b3ab67c1-e294-407f-b2dc-4d87eb64b73a","d207fe20-3e04-4637-96e7-a45547c7c1b0","15","Thoughts or concerns about privacy.","text","By forgetting my context in between responses the chatbot made me more aware of the limitations of having a single response context window.","2026-03-26T00:42:18.557Z",,
"988c7c6f-ba56-46cb-9f9d-c3c292e50e2f","d207fe20-3e04-4637-96e7-a45547c7c1b0","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Disagree","2026-03-26T00:42:18.556Z",,
"5e243d7a-31f7-442d-a68c-1e0e52ac6f25","d207fe20-3e04-4637-96e7-a45547c7c1b0","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Neutral","2026-03-26T00:42:18.556Z",,
"9bd945cb-69ba-475c-bcec-7a489d349efb","d207fe20-3e04-4637-96e7-a45547c7c1b0","5","The chatbot felt conversational and informal.","likert","Disagree","2026-03-26T00:42:18.556Z",,
"6dacf0e1-30f4-4811-889d-055c248e62ea","d207fe20-3e04-4637-96e7-a45547c7c1b0","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Programming or technical help"",""Learning or studying""]","2026-03-26T00:42:18.556Z",,
"42654b3b-a35c-4f2d-b1bd-515be827ec89","d207fe20-3e04-4637-96e7-a45547c7c1b0","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Strongly Agree","2026-03-26T00:42:18.556Z",,
"be3ba2ae-b965-44e5-beee-0b4cea192ecf","d207fe20-3e04-4637-96e7-a45547c7c1b0","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Very closely","2026-03-26T00:42:18.556Z",,
"9f83ef95-1c84-4c62-a63e-5f2bedcbf3a3","d207fe20-3e04-4637-96e7-a45547c7c1b0","9","I found myself including more detail than necessary.","likert","Agree","2026-03-26T00:42:18.557Z",,
"866cc8d6-9106-4175-93d6-541d7a7f71af","d207fe20-3e04-4637-96e7-a45547c7c1b0","6","I felt comfortable interacting with the chatbot.","likert","Disagree","2026-03-26T00:42:18.556Z",,
"28d698eb-120f-4c6b-a32c-553b3b233506","ad027d83-93ae-4ffc-95ef-5885900c1251","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-27T17:39:17.662Z",,
"47b0b70d-aa70-46af-bc91-f9ec6e029bf6","ad027d83-93ae-4ffc-95ef-5885900c1251","10","I felt in control of what information I shared.","likert","Neutral","2026-03-27T17:39:17.663Z",,
"22066eab-092a-4f45-bf22-262c20188cba","ad027d83-93ae-4ffc-95ef-5885900c1251","9","I found myself including more detail than necessary.","likert","Neutral","2026-03-27T17:39:17.663Z",,
"218dca4a-2adc-40bc-b397-dadcc40442a2","ad027d83-93ae-4ffc-95ef-5885900c1251","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Neutral","2026-03-27T17:39:17.662Z",,
"bbe09b42-7e48-4fe3-acc2-790950f42384","ad027d83-93ae-4ffc-95ef-5885900c1251","15","Thoughts or concerns about privacy.","text","","2026-03-27T17:39:17.663Z",,
"4ce834c3-d40e-4d78-ad26-e9cbf40c63a5","ad027d83-93ae-4ffc-95ef-5885900c1251","6","I felt comfortable interacting with the chatbot.","likert","Agree","2026-03-27T17:39:17.663Z",,
"88baf90f-f205-4d32-9eec-819064d23885","ad027d83-93ae-4ffc-95ef-5885900c1251","5","The chatbot felt conversational and informal.","likert","Neutral","2026-03-27T17:39:17.663Z",,
"f752dab6-851e-4c7d-b560-4c90c144e448","ad027d83-93ae-4ffc-95ef-5885900c1251","14","In real-world use, I would be cautious about sharing personal information.","likert","Neutral","2026-03-27T17:39:17.663Z",,
"dc9bc90c-c540-4f31-80c0-a04765779b7a","ad027d83-93ae-4ffc-95ef-5885900c1251","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Neutral","2026-03-27T17:39:17.663Z",,
"2df5238d-1b86-40d9-a708-7b9b483b9eb6","ad027d83-93ae-4ffc-95ef-5885900c1251","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Moderately","2026-03-27T17:39:17.663Z",,
"e2b67fdb-bc14-41d2-a5be-261ac252e0e6","ad027d83-93ae-4ffc-95ef-5885900c1251","12","Did the chatbot encourage you to share more detailed information?","likert","Strongly Agree","2026-03-27T17:39:17.663Z",,
"4e4640c4-cf8f-4b51-b2f8-983bf256ca56","ad027d83-93ae-4ffc-95ef-5885900c1251","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""General information""]","2026-03-27T17:39:17.662Z",,
"24ff6d83-9749-417f-ad3f-8030c84c9e0c","ad027d83-93ae-4ffc-95ef-5885900c1251","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Time pressure""]","2026-03-27T17:39:17.663Z",,
"5cda4375-e287-4872-a57a-b7662b269af3","ad027d83-93ae-4ffc-95ef-5885900c1251","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Agree","2026-03-27T17:39:17.663Z",,
"8c3a96a6-16f0-43df-900b-69169d847976","ad027d83-93ae-4ffc-95ef-5885900c1251","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Agree","2026-03-27T17:39:17.663Z",,
"1e9924e4-4c41-4a9e-b94b-2a164e6c1ff6","2cea9acf-f3db-49bf-823d-d33ae8eed855","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-28T09:43:21.078Z",,
"e55254fe-3860-45cb-bd02-ffbd1232730b","2cea9acf-f3db-49bf-823d-d33ae8eed855","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Task instructions"",""Time pressure""]","2026-03-28T09:43:21.079Z",,
"b8c88e59-aeda-45e9-9445-7f0225c46707","2cea9acf-f3db-49bf-823d-d33ae8eed855","8","How closely did your prompts resemble realistic personal scenarios?","multiple_choice","Slightly","2026-03-28T09:43:21.079Z",,
"bc7220ed-9c99-48eb-804b-63919aa48135","2cea9acf-f3db-49bf-823d-d33ae8eed855","12","Did the chatbot encourage you to share more detailed information?","likert","Agree","2026-03-28T09:43:21.079Z",,
"1f217067-a0e6-4819-94ff-7a4cec12b74b","2cea9acf-f3db-49bf-823d-d33ae8eed855","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Disagree","2026-03-28T09:43:21.079Z",,
"7c0a93bf-b2be-40cf-bd61-c128c6069649","2cea9acf-f3db-49bf-823d-d33ae8eed855","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Agree","2026-03-28T09:43:21.079Z",,
"39a606a1-1859-40fb-b302-47ec17c7b100","2cea9acf-f3db-49bf-823d-d33ae8eed855","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Programming or technical help""]","2026-03-28T09:43:21.078Z",,
"0704a09a-6e19-43ec-9915-bae013344f6f","2cea9acf-f3db-49bf-823d-d33ae8eed855","6","I felt comfortable interacting with the chatbot.","likert","Agree","2026-03-28T09:43:21.079Z",,
"72a56b6c-28d8-40b6-90f6-376197802115","2cea9acf-f3db-49bf-823d-d33ae8eed855","15","Thoughts or concerns about privacy.","text","I could share a credit card number piecemeal but not as a whole.","2026-03-28T09:43:21.079Z",,
"f425b735-879a-48d3-b7bd-08dca4175b5f","2cea9acf-f3db-49bf-823d-d33ae8eed855","10","I felt in control of what information I shared.","likert","Strongly Disagree","2026-03-28T09:43:21.079Z",,
"f1072b2d-0be3-42b5-8c0e-2e65e83ec355","2cea9acf-f3db-49bf-823d-d33ae8eed855","9","I found myself including more detail than necessary.","likert","Disagree","2026-03-28T09:43:21.078Z",,
"e85db325-baa0-43b5-92e7-f02b4dd7a988","2cea9acf-f3db-49bf-823d-d33ae8eed855","7","It was clear to me how my inputs might be stored or used by the system. ","likert","Agree","2026-03-28T09:43:21.079Z",,
"23453914-74da-431a-a935-37c90a95b6c9","2cea9acf-f3db-49bf-823d-d33ae8eed855","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Strongly Disagree","2026-03-28T09:43:21.078Z",,
"1dea41f1-9315-4b0a-ac0b-182416edaa27","2cea9acf-f3db-49bf-823d-d33ae8eed855","5","The chatbot felt conversational and informal.","likert","Strongly Disagree","2026-03-28T09:43:21.078Z",,
"1837e0cf-f507-4e5e-b9c3-12caccab164b","2cea9acf-f3db-49bf-823d-d33ae8eed855","3","I was aware that information entered into the chatbot could pose a privacy risk.","likert","Strongly Agree","2026-03-28T09:43:21.078Z",,
"a90f13b9-7045-4c26-9d85-f562aa260153","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","1","How often do you use conversational AI systems?","multiple_choice","Daily","2026-03-28T09:54:05.142Z",,
"a01e4015-eef4-4429-90a8-49c074d7fdba","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","10","I felt in control of what information I shared.","likert","Agree","2026-03-28T09:54:05.145Z",,
"dd1b6002-e12b-4494-808e-2c29cca8b7c9","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","11","What influenced how much detail you included? (Select all that apply)","multiple_choice","[""Wanting more accurate responses"",""Task instructions"",""Time pressure""]","2026-03-28T09:54:05.146Z",,
"4b0275f7-5edf-4471-8b9f-8ef8c66e96af","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","12","Did the chatbot encourage you to share more detailed information?","likert","Agree","2026-03-28T09:54:05.146Z",,
"d0360892-1cec-4524-b68c-a1362fcbfe0b","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","13","The interaction made me more aware of how personal details can be included in prompts.","likert","Strongly Agree","2026-03-28T09:54:05.146Z",,
"b9cde30c-6491-4c6a-a8cf-0c41ccd78a5c","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","14","In real-world use, I would be cautious about sharing personal information.","likert","Strongly Agree","2026-03-28T09:54:05.146Z",,
"e4483802-c90f-4d2d-8200-74a5e78eaef0","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","15","Thoughts or concerns about privacy.","text","Could send bank account number, and sort code.","2026-03-28T09:54:05.146Z",,
"a60a2c74-7ca4-48c3-b980-88016e868bd4","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","4","I felt confident that the chatbot would handle user-provided information securely.","likert","Strongly Disagree","2026-03-28T09:54:05.142Z",,
"2a15d2fb-0619-4922-8498-4f8c1d2a766f","cb2b6442-ce45-4f31-a8a9-d5b0f58986ea","2","What do you primarily use chatbots for? (Select all that apply)","multiple_choice","[""Learning or studying"",""General information""]","2026-03-28T09:54:05.143Z",,
